Lake ,Pload,TP,Chla
mcquade,1.2,0.04,10.7
minnewaska,0.15,0.035,7.6
pelican,0.06,0.032,11.4
st. louis bay,32.54,0.216,4.7
silver,0.53,0.6,126.1
six mile,5.08,0.235,21
swan,0.47,0.013,3.8
trout,0.33,0.05,7
enid,3.98,0.062,6.6
ross barnett res.,3.56,0.045,10
sardis,1.12,0.041,6.4
grenada,1.57,0.051,6
pomme de terre res.,0.66,0.043,9.4
stockton res.,0.49,0.022,9
thomas hill res.,0.48,0.082,5.8
canyon ferry res.,2.31,0.047,5.8
clark canyon res.,1,0.049,2.4
flathead,0.36,0.008,1.3
hebgen,0.47,0.022,4.1
mary ronan,0.18,0.02,4.7
mcdonald,0.29,0.006,0.5
nelson res.,0.41,0.029,7.2
seeley lake,0.97,0.015,2.2
swan lake,1.56,0.01,3.3
tally lake,0.51,0.011,2.1
tiber res.,0.64,0.018,2.8
tongue river res.,9.44,0.051,16.9
whitefish,0.43,0.008,1.4
branched oak res.,0.72,0.044,17
harland country res.,2.22,0.112,27.8
harry d. strunk res.,6.13,0.064,14.4
hugh butler res.,1.61,0.061,16.6
johnson res.,6.72,0.075,26.1
c.w.mcconaughy res.,1.36,0.027,8.6
pawnee res.,0.73,0.06,15.4
swanson res.,0.87,0.067,14.4
lake mead,6.23,0.016,3.1
lahontan res.,9.53,0.198,4.6
rye patch res.,1.18,0.095,4.9
topaz,1.36,0.058,7.5
powder mill pond,3.24,0.033,6.2
winnipesaukee,0.12,0.006,2.1
kellys falls pond,28.92,0.024,7
glen,13.13,0.028,3.8
budd,0.29,0.082,48.5
greenwood,0.31,0.021,11.9
oradell res.,5.08,0.055,22.3
pinecliff,3.47,0.07,39
pompton lakes,47.89,0.071,23
duhernal,60.19,0.082,6.8
hopatcong,0.12,0.022,13.6
pailinskill ,18.17,0.133,7
spruce run res.,0.28,0.02,15.3
wanaque res.,0.4,0.014,7.1
alamogordo res.,1.52,0.025,5.9
bluewater,0.08,0.036,3.9
conchas res.,0.29,0.02,3.3
elephant butte res.,17.35,0.083,6.8
el vado res.,2.67,0.034,2.2
mcmillan,1.05,0.097,14.1
ute res.,0.67,0.021,3.2
canadiagua,0.14,0.009,4.3
cannonsville res.,4.26,0.046,29.9
carry falls res.,0.71,0.01,3.1
